Durchlauf 1:

timestamp,elapsed_s,cpu_percent,ram_mb,ram_percent
00:02:02,0.01,0.0,62.07,0.391
00:02:03,0.53,23.2,62.32,0.393
00:02:03,1.05,25.1,62.35,0.393
00:02:04,1.57,17.4,62.35,0.393
00:02:04,2.09,21.2,62.35,0.393
00:02:05,2.61,21.2,62.35,0.393
00:02:05,3.12,23.2,62.35,0.393
00:02:06,3.64,19.3,62.36,0.393
00:02:06,4.16,21.2,62.36,0.393
00:02:07,4.68,19.3,62.37,0.393
00:02:07,5.2,23.1,62.37,0.393
00:02:08,5.72,21.2,62.37,0.393
00:02:08,6.24,19.3,62.37,0.393
00:02:09,6.75,13.5,62.37,0.393
00:02:09,7.27,17.3,62.37,0.393
00:02:10,7.79,19.3,62.37,0.393
00:02:11,8.31,21.2,62.38,0.393
00:02:11,8.83,19.3,62.38,0.393
00:02:12,9.35,17.4,62.38,0.393
00:02:12,9.87,17.4,62.38,0.393
00:02:13,10.39,19.1,62.38,0.393
00:02:13,10.91,15.4,62.38,0.393
00:02:14,11.42,17.4,62.38,0.393
00:02:14,11.94,21.3,62.38,0.393
00:02:15,12.46,21.2,62.38,0.393
00:02:15,12.98,15.5,62.38,0.393
00:02:16,13.49,19.3,62.38,0.393
00:02:16,14.02,21.1,62.39,0.393
00:02:17,14.53,23.2,62.39,0.393
00:02:17,15.05,21.2,62.39,0.393
00:02:18,15.57,15.4,62.39,0.393
00:02:18,16.09,17.4,62.39,0.393
00:02:19,16.61,19.1,62.39,0.393
00:02:19,17.13,17.4,62.39,0.393
00:02:20,17.65,15.4,62.39,0.393
00:02:20,18.17,21.0,62.39,0.393
00:02:21,18.69,15.4,62.39,0.393
00:02:21,19.21,19.3,62.39,0.393
00:02:22,19.73,19.3,62.39,0.393
00:02:22,20.25,21.2,62.39,0.393
00:02:23,20.76,21.2,62.39,0.393
00:02:23,21.29,21.0,62.4,0.393
00:02:24,21.81,15.3,62.4,0.393
00:02:25,22.33,17.4,62.4,0.393
00:02:25,22.85,22.9,62.4,0.393
00:02:26,23.37,19.3,62.4,0.393
00:02:26,23.89,19.3,62.42,0.393
00:02:27,24.41,19.2,62.43,0.393
00:02:27,24.93,19.1,62.43,0.393
00:02:28,25.45,19.2,62.43,0.393
00:02:28,25.97,23.1,62.43,0.393
